index,title,genres,story_line,cast,director
5745,Ittefaq,"Action, Comedy, Drama","Shiva (Sunil Shetty) is a professional hit man. Shiva accepts a contract from Jindal (Mohan Joshi) to kill Vikram (Mukul Dev). Circumstances force Shiva to come to know Mukul first, and ...       »","Suniel Shetty,Mukul Dev,Pooja Batra,Anupama Verma",Sanjay Khanna
5746,Indian,"Action, Crime, Drama","Brave Indian policeman Raj beats up, then arrests Muslim terrorist Khan. This gets him promoted, and he is congratulated by none other than his father-in-law, who is also a very high ...       »","Sunny Deol,Shilpa Shetty Kundra,Raj Babbar,Danny Denzongpa",N. Maharajan
5747,Bhago Boot,Family,,"Vinay Katore,Nedumudi Venu",Sai Paranjape
5748,Mohanayanangal,"Horror, Thriller",A female doctor arrives in a village with her son and husband. The village men fantasy her and want to have their way with her. They pretend to be patients and visit her clinic just to see ...       »,"Shakeela,Maria,Reshma,Mohan",A.T. Joy
5749,Veer Savarkar,"Biography, Drama","The film incorporates the touching events in the life of Vinayak Damodar Savarkar - a great revolutionary, a political prophet and a born poet. The film depicts various important events in his chequered life.","Shailendra Gaur,Pankaj Berry,Tom Alter,Hemant Birje",Ved Rahi
5750,Bhairav,Action,"Rakesh Pandey belongs to a middle-class family, and is employed. One day when he is returning home from work, he is arrested by the police on the charge of killing a woman in cold-blood. He...       »","Hemant Birje,Mithun Chakraborty,Jack Gaud,Brij Gopal",T.L.V. Prasad
5751,Paagalpan,"Action, Drama, Romance","Young and attractive Roma Pinto is the only girl in the struggling Pinto family, consisting of five brothers, with assorted careers. They are very protective and affectionate towards her, ...       »","Karann Nathh,Aarthi Agarwal,Dr. Vilas Ujawane,Bharat Dabholkar",Joy Augustine
5752,Mitti,"Action, Drama",A psychopathic gangster rapes and murders a woman and then her brother kills everyone responsible one by one.,"Ferdous Ahmed,Sharbani Mukherji,Rani Rajkumar,Arif Zakaria",Iqbal Durrani
5753,Daman: A Victim of Marital Violence,Drama,"The Saikias are a wealthy family, consisting of father, mother, and two unmarried sons, Sanjoy and Sunil. Sanjoy, the elder, refuses to marry, and the family must live with his temper ...       »","Raveena Tandon,Sayaji Shinde,Sanjay Suri,Raima Sen",Kalpana Lajmi
5754,Eduruleni Manishi,"Comedy, Drama","Surya Murthy lives a very wealthy lifestyle in India along with his parents, his niece, and a younger look-alike brother, Satya. His parents would like him to get married, but he refuses ...       »","Nagarjuna Akkineni,Soundarya,Kota Srinivasa Rao,Ranganath",
5755,Mujhe Meri Biwi Se Bachaao,"Comedy, Musical, Family","Anand Mathur comes from a middle-class background, but has always dreamed of living in luxury. His dreams take form when he meets with the only daughter, Kamini, of an aging and sick ...       »","Rekha,Naseeruddin Shah,Arshad Warsi,Suman Ranganath",Harry Baweja
5756,Galiyon Ka Badshah,"Action, Thriller",,"Ishrat Ali,Hemant Birje,Amisha Desai,Dharmendra",Kanti Shah
5757,Qatil Chudail,Horror,,"Anil Nagrath,Jhony Nirmal,Amit Pachori,Sapna Sappu",Kanti Shah
5758,Tere Liye,"Drama, Family, Musical",The teenage children of various workers at a film studio form a band and struggle to stick together in turbulent times.,"Imran Ahmed Khan,Sonali Khare,Neelu Kohli,Hiten Paintal",Sanjay Gadhvi
5759,Tera Mera Saath Rahen,Drama,"A man is torn between his handicapped brother and his ladylove, where he finds difficult whom to choose.","Ajay Devgn,Sonali Bendre,Namrata Shirodkar,Prem Chopra",Mahesh Manjrekar
5760,Jaana Na Dil Se Door....,Family,,"Rani Agarwal,Dev Anand,Vijay Anand,Vijay Arora",Vijay Anand
5761,Zaroorat,Drama,"Two underworld crime bosses, Locha Lapacha (Razak Khan) and Karim Kata (Shakti Kapoor) carry out notorious sex rackets in the city. Many innocent women are lured into their traps and forced...       »","Hemant Birje,Pinky Chinoy,Shakti Kapoor,Razak Khan",Kanti Shah
5762,Tamboo Mein Bamoo,Drama,,"Raza Murad,Birbal,Satnam Kaur,Nitin Bhandarkar",Dil Kumar
5763,Uljhan,"Mystery, Thriller",Varun and Anjali meet with a major car accident where Anjali escapes with minor injuries while Varun his badly injured and his face gets damaged badly.Anjali with the help of doctors around...       »,"Puru Rajkumar,Deepti Bhatnagar,Kanchan,Laxmikant Berde",Rajan Johri
5764,Pyaar Zindagi Hai,"Drama, Romance, Thriller","Widower Hridaynath gets his eldest daughter, Geeta married to army major Pratap Singh while he lives with his youngest, unmarried daughter, Priya in Dehra Dun. Geeta along with Pratap and ...       »","Rajesh Khanna,Vikas Kalantri,Ashima Bhalla,Asawari Joshi",Vijay Sadanah
5765,Yeh Samaa: Waiting for U,Romance,,"Vania Gomes,Uday Kiran,Maneck,Sunith Roy",
5766,Zakhmi Sherni,Action,This is a pure revenge story of a village girl who is gang raped in a car by local goons. She becomes a dacoit and takes revenge to her enemies.,"Birbal,Hemant Birje,Dharmendra,Krishnakant Goswami",Surinder Kapoor
5767,Ehsaas: The Feeling,"Drama, Romance","Ravi Naik lives a middle-class life with his son Rohan in the country of India. He brings up his son in such strict, quiet, and disciplined atmosphere that his son starts to resent him and ...       »","Suniel Shetty,Shabana Raza,Kirron Kher,Mahesh Manjrekar",Mahesh Manjrekar
5768,Aaj Ka Gunda,"Action, Thriller",,"Dharmendra,Mohan Joshi,Shakti Kapoor,Kiran Kumar",Kanti Shah
5769,Bhagawat Ek Jung,Action,"Krishna and Arjun are enemies because their bosses, and criminal bigwigs, are sworn enemies. Inspector Vijay tries to end this enmity because Krishna's sister and Arjun's brother are in love.","Mithun Chakraborty,Manvi Goswami,Mohan Joshi,Razak Khan",Deepak Pawar
5770,Hum Deewane Pyar Ke,Romance,"Madhu Roy comes to India to study medicine all the way from Bangla Desh. She meets with fellow student Vijay Chatterjee, and after a few misunderstandings both of them fall in love. Vijay ...       »","Rakesh Bedi,Rohini Hattangadi,Aruna Irani,Anup Jalota",Amitava Bhattacharya
5771,Is Pyaar Ko Kya Naam Doon,Comedy,,"John Abraham,Akanksha Malhotra,Om Puri",Rahul Rawail
5772,Boond,"Action, Crime, Drama","After the passing of her parents, Mumbai-based Neelam lives a poor lifestyle with her ailing maternal uncle, and is employed as a Typist with Suryakant Ahuja, who wants her for himself. ...       »","Navin Berry,Pankaj Berry,Birbal,Sudhir Dalvi",Inayat Mahshar
5773,Bengal Tiger,"Action, Crime",In caste and religion laden India there are some people who work together without any bias - they are underworld dons and gangster - and their prime motive is to amass as much money as ...       »,"Sandeep Bedi,Mithun Chakraborty,Roshini Jaffery,Raushani Jaffrey",Adarsh Jain
5774,Dattak,Drama,Sunil is an NRI married to an American girl. His father lives in Kolkata with an old servant Shambhu. When Sunil returns home after fifteen years he sees the house is locked and his father ...       »,"Rajit Kapoor,Anjan Srivastav,A.K. Hangal,Kruttika Desai",Gul Bahar Singh
5775,Rupa Rani Ramkali,Action,,"Sadashiv Amrapurkar,Gajendra Chauhan,Mohan Joshi,Kiran Kumar",K.I. Sheikh
5776,Arjun Devaa,"Action, Crime, Musical","Arjun Poojari lives in a small village in Central India with his mom, dad, & an unmarried sister. The entire village is grateful to Bade Thakur Jagawar Choudhry for all the work he has done...       »","Mithun Chakraborty,Puru Rajkumar,Rutika Singh,Hemant Birje",Imraan Khan
5777,Bholi Bhali Ladki,"Drama, Thriller","Bholi Bhali Ladki is a 2001 Hindi film, directed by Shivram. The film stars Deepak Shirke, Hemant Birje and Yunus Parvez. Watch the full movie, Bholi Bhali Ladki, online, only on Eros Now.","Robin Ghai,Sanjeevani Gupta,Aman Sagar,Preeti Patel",K. Shivram
5778,Khazaane Ki Khoj,Thriller,,,
5779,Adamkhor Daayan,Horror,,"Rana Jung Bahadur,Birbal,Mohan Joshi,Monica Kale",K.I. Sheikh
5780,Meri Dhoti Tera Ghagra,Comedy,,"Anamika,Satnam Kaur,Yogendra Konkar,Satish Shah",
5781,Woh Kaun Thi,Horror,A man believes he is losing his mind because his new wife seems to have the supernatural power to haunt him.,"Rana Jung Bahadur,Shakti Kapoor,Sudha Kapoor,Veena Kapoor",Amrit Pal
5782,Rakhail No 1,Thriller,,"Rajeev Raj,Sapna Sappu,Yamni,Vijay",Tilak
5783,Malkin,"Drama, Thriller",,"Hemant Birje,Satnam Kaur,Ali Khan,Joginder Shelly",Kishan Shah
5784,Hello Girls,Comedy,The film is about a secret file that a female CBI officer gets hold off. She is soon killed by Hitler as he wants the file but she does not tell him where it is. CBI office Ajay is given ...       »,"Anu,Laxmikant Berde,Kirit,Kirti",Ravi Kumar
5785,Ghar Mein Ho Sali To Pura Saal Diwali,Comedy,,"Sanjeevani Gupta,Anil Nagrath,Amit Pachori,Aman Sagar",
5786,Inteqam,"Comedy, Crime","Vijay Kumar Singh lives in a big apartment building with his parents. He and his three male friends are thrilled and intrigued by the arrival of a new family in their neighborhood, ...       »","Akshay Anand,Tinnu Anand,Pooja Dadwal,Harish",Aslam Azmi
5787,Main Hoon Rakshak,Action,,"Ranga Nath,Soundarya,Srikanth",
5788,Raat Ki Laila,Horror,,,
5789,Kaam Granth,Action,,"Mohan Joshi,Sanjeevani Gupta,Manoj Dutt,Laxmikant Berde",Thakur Tapasvi
5790,Aag Ke Sholay,Action,,"Anil Nagrath,Amit Pachori,Sapna Sappu,Joginder Shelly",Kanti Shah
5791,Maut Ka Khel,Horror,,"Govardhan Asrani,Abhay Bhargava,Kiran Kumar,Mac Mohan",Rakesh Sawant
5792,Hadh: Life on the Edge of Death,"Action, Crime, Drama","Raised in an orphanage, Vishwa is framed by Dalal for the murder of Hajibaba, the very man who gave Vishwa a respectable life. Out of prison, Vishwa seeks to avenge the death of his mentor.","Somesh Agarwal,Shama Deshpande,Vikram Gokhale,Ayesha Jhulka",Thampi Kannanthanam
5793,Bindiya Mange Bandook,Action,A doctor gets killed while trying to save a dacoit's life. After this the dacoit decides to surrender to the police. His elder daughter Bindiya is given the duty to look after his sister ...       »,"Pinky Chinoy,Mohan Joshi,Satnam Kaur,Kiran Kumar",
5794,Jagira,"Action, Crime, Drama","Jagira is the story of those unfortunate people harassed by time and the society and above all the victims of the oppressors. But the law Keepers, the traitors instead of helping the ...       »","Ishrat Ali,Hemant Birje,Pinky Chinoy,Danny Denzongpa",Kanti Shah
5795,Badla Aurat Ka,Action,"Oberoi,Kapoor and Verma three business partners and womanizers who have abused many women but they don't fear in committing the crime as they are supported by Inspector Khanna and Lawyer ...       »","Ranjeet Bedi,Sahila Chaddha,Sudhir Dalvi,Akbal Dhani",
5796,Khatron Ke Khiladi,Action,,"Ishrat Ali,Raj Babbar,Sudesh Berry,Mithun Chakraborty",Imran Khalid
5797,Mera Saaya,Horror,,"Aashnee,Dhirendra Agarwal,Biswajeet Chatterjee,Shakti Kapoor",
5798,Ek Lootera,Action,"Iqbal Loha, a Carlos-the-Jackal-like figure, is the most dangerous contract killer in the country. While carrying out one of his assassinations, his heart is touched when he finds the ...       »","Dharmendra,Prithvi Vazir,Durgesh Nandini,Sudha Chandran",Jitendra Chawda
5799,Bhooka Sher,Action,"Ganga is a young and beautiful girl. She is brutally raped by a a group of thugs that have terrorized her village. She pleads with the Goddess Durga, who empowers her with strength and a ...       »","Hemant Birje,Dharmendra,Shakti Kapoor,Sikander Khan",
5800,Saaya Kaali Raat Mein,Action,,"Rani Sinha,Rajesh Tiwari,Sainora,Rahat",Mahmood Khan
5801,Baaja,Family,,"Ram Awana,Saroj Bhagwar,Roni Bhatt,Chitra Pandey",Apurba Kishore Bir
5802,Jeetenge Hum,Action,,"Dinyar Contractor,Priya Gill,Gulshan Grover,Mayuri Kango",Sunil Bohra
5803,Mein Hoon Pyassi Suhagan,"Action, Crime, Drama",Mumbai Police Inspector Vijay Kumar is in love with Journalist Priya and both hope to get married soon. Priya then comes across incriminating evidence against Mantri Satya Swami and is all ...       »,"Krishna Bansal,Sumeet Batra,Ranjeet Bedi,Archana K. Bera",H.B. Singh
5804,Jaan Pe Khelenge Hum,Romance,,"Sadashiv Amrapurkar,Dinesh Hingoo,Feroz Khan,Mushtaq Khan",Hamid Ali
5805,Josh-E-Jawaani,Romance,,"Bunty Bedi,Rakesh Bedi,Kishore Bhanushali,Ramesh Goyal",
5806,Gumnam Qatil,Horror,,"Yunus Parvez,Mahesh Raaj,Ghanshyam Rohera,Rakesh",Harinam Singh
5807,Meri Adaalat,Action,"Ajay Verma lives with his younger brother, Vishal and his wife, Maria, and an unmarried sister, Disha. He is in love with a Police Inspector by the name of Kiran, who he would like to marry...       »","Vishal Bakshi,Rakesh Bedi,Birbal,Mithun Chakraborty",
5808,Shaheed E Kargil,Action,,"Shehzad Khan,Kiran Kumar,Pramod Moutho,Raza Murad",Dilip Gulati
5809,Daku Bhairav Singh,Action,,"Rajni Chandra,Dharmendra,Brij Gopal,Shakti Kapoor",Pappu Sharma
5810,Pehli Suhagraat,Thriller,,,
5811,Main Jyoti Tu Jwala,Action,,"Sheetal Bedi,Shakti Kapoor,Satnam Kaur,Shehzad Khan",
5812,Laadli,Family,"Roshni a survivor of an earthquake, but orphaned, is brought back to her Uncle's village in Rajasthan. The villagers and elders are shocked to see her as she is the first girl child there ...       »",,
5813,Heroine No.1,"Drama, Thriller","Shalu and Dolly are daughters of Mathur. Dolly wants to become heroine in films. She met film director Vijay Khanna offer her a chance in his film. His three friends Khurana, thakur & ...       »","Sapna Sappu,Neeraj Bharadwaj,Siraj Khan,Anjali Kholapure",Ravi Kumar
5814,Daughters of This Century,"Action, Crime, Drama","This film is based on five shot stories of Rabindranath Tagore's Jibito O Mrito, Sarat Chandra Chattopadhyay's Abhagir Swarga, Gour Kishore Ghosh's Aei Daha, Prafulla Roy's Satgharia and Dibyendu Palit's Kaanch.","Shabana Azmi,Jaya Bachchan,Arjun Chakraborty,Nandita Das",Tapan Sinha
5815,Avgat,"Action, Crime, Drama",,"Ajinkya Deo,Nethra Raghuraman,Sayaji Shinde,Rohini Hattangadi",Mohan Sharma
5816,Ladki Jawan Padosi Pareshan,Comedy,,"Bharat Arora,Rajesh Kumar Singh,Rani Sinha",
5817,Dal: The Gang,Action,"Aslam Khan, Yogi Raj, David Gonsalves, Uttam Harma and Pritam Singh are five friends from completely different religious backgrounds, who live in a slum that is soon to be demolished by a ...       »","Ishrat Ali,Sadashiv Amrapurkar,Rajesh Bakshi,Ranjeet Bedi",Vicky Ranawat
5818,Bombay Girls,"Drama, Adventure","Three girls set out to seek diverse careers. One finds tragic success as a movie actress and has an affair with her boyfriend's dad. Shakti Kapoor plays movie maker Chitrasen, with a special appearance by Bappi Lahiri.","Ramesh Goyal,Donny Kapoor,Shakti Kapoor,Bappi Lahiri",Poonam Sinha
5819,Ek Aur Jung,Action,,"Sheeba Agarwal,Raj Babbar,Dharmendra,Siddharth Dhawan",Inayat Mahshar
5820,Kunwari Chudail,Horror,,"Arvinda Jaiswal,Jyoti,Rani Sinha,Durgesh Nandini",
5821,Fauladi No.1,Drama,,,Sandeep Kumar
5822,Deeptham,Thriller,,"Bhaskar,Heera,Lekha Pande",R.S. Vidhya
5823,Junglee Mohabbat,"Action, Adventure",,"Birbal,Hemant Birje,Anil Nagrath,Amit Pachori",
5824,Dafan,Horror,,"Amit Pachori,Satnam Kaur,Prithvi Vazir,Deepak Shirke",Jitendra Chawda
5825,Jalta Badan,Romance,,"Kishore Bhanushali,Abhay Bhargava,Birbal,Robin Ghai",
5826,Yeh Hai Pyar Ka Mausam,Crime,"Indian Army Captain Vikram Masoom lives a wealthy lifestyle along with his wife, Rohini, and school-going daughter, Mohini. One day he witnesses an unknown man who a tattoo on the back of ...       »","Rajat Bakshi,Rajesh Bakshi,Prem Chabra,Harish Ghera",Rajesh Bakshi
5827,Maut Ki Pukar,Horror,,,Kanti Shah
5828,Kasam Tere Pyar Ki,Romance,,,S.S. Stanley
5829,Mahakali Ka Insaaf,Drama,,"Mohan Babu,Ramya Krishnan,Sanghavi",
5830,Machla Yeh Dil,Thriller,,,
5831,Khajuraho: The Tale of Love,Thriller,,,Nitti Kumar
5832,Sai Teri Maya,Drama,"Suraj, a young boy, is wanted by an ugly old monk- Kalicharan, an aggressive gangster, Shaitan Diler Singh and a black magic practicing lady- Anita- all of whom want to sacrifice Suraj for ...       »","S.P. Balasubrahmanyam,Nagma,Rami Reddy",Ramanarayanan
5833,Jhootha Pyar:The Naked Truth,Thriller,,,
5834,Saugandh Geeta Ki,Action,"2001 Indian Hindi film, directed by Willy Raja. The film stars Dharmendra, Poonam Dasgupta in lead roles.","Ishrat Ali,Hemant Birje,Pinky Chinoy,Poonam Dasgupta",William Hunt
5835,Bhayanak Bhootani,Horror,,,BabyStar:Kanta Rao
5836,Rowdy Cheetah,Action,,,
5837,Kuch Karo Naa,Thriller,,"Birbal,Pooja Dadwal,Kiran Kumar,Manmauji",Papu Bahruz
5838,Hasina Dacait,Action,,"Goga Kapoor,Ali Khan,Madhuri Mishra,Raza Murad",R. Mittal
5839,Sali Gharwali Aur Bahar Wali,"Comedy, Thriller",,"Master Bharat,Dolly Bindra,Ashwin Kaushal,Razak Khan",Komal
5840,Tahkhana,Horror,,"Birbal,Hemant Birje,Amit Kapoor,Satnam Kaur",Kishan Shah
5841,Pranayakalathu,Romance,"Pranayakalathu is a 2001 Indian Malayalam film, directed by S.P. Sankar and produced by Sabari Visual Media. The film stars Sathaar, Hema, Rudraprathap and Mala Aravindan in lead roles. The...       »","Sathaar,Hema,Rudraprathap,Mala Aravindan",S.P. Sankar
5842,Naya Gupt Gyan,Thriller,,"Kaushik,Yadu Krishnan,Tabu",D.V.S. Reddy
5843,Meri Pyaari Bahania Banegi Dulhania,Family,"2001 Hindi film, directed by Jayant Gilatar. The film stars Mithun Chakraborty and Rajeshwari Sachdev in lead roles.","Mithun Chakraborty,Rajeshwari Sachdev,Vishwajeet Pradhan,Sindhu",Jayant Gilatar
5844,Maut Ki Haveli,Horror,,"Sohail Khan,Yamani,Deepak Shirke,Anil Nagrath",A. Raja
5845,Main Hoon Qatil Jaadugarni,Thriller,"Story based on revenge by a 24 year girl naming Chandni (Poonam Das Gupta) who loves Amar (Amit Panchori) whole heartedly, but incidently few bad boys kill Amit and rape Chandni and finally...       »","Poonam Dasgupta,Sanjeevani Gupta,Bharat Kapoor,Raza Murad",Dilip Gulati
5846,Phoolan Bai,Action,,"Harshas Bhanushali,Bhavana Bhatt,Feroz Khan,Kiran Kumar",Israr Ahmed
5847,Blast Barood,Action,,"Chandramohan,Gopichand,Sneha",
5848,Pyar Ka Nasha,Thriller,,,U.C. Roshan
5849,Menka,Thriller,,"Ishrat Ali,Brij Gopal,Mohan Joshi,Shehzad Khan",K.I. Sheikh
5850,Dial 100,"Crime, Mystery","Rahul works as a Manager with a Hotel that was formerly owned by Bajaj, but after his suicide, Prem purchases the hotel and moves in along with his newly-wed wife, Anjali, and sister, Pooja...       »","Aryan,Amar,Pinky Chinoy,Arun Bakshi",Inayat Mahshar
5851,Biwi Ka Yaar,Thriller,,,
5852,Aag Aur Shola,Action,,"Kiran Rathod,Flora Saini,Raj Shekhar,Ashish Vidyarthi",Ravi Raja Pinisetty
5853,Queen of Khajuraho,Thriller,,"Aman Sagar,Kirti Shetty,Sohail Khan,Kishore Bhanushali",Papu Bahruz
5854,Qatil Haseeno Ka,Crime,"Chaudhry runs a posh hotel in the Indian countryside, but does not do very well due to poor patronage. One day a recently married young couple, Harish and Seema, rent one of the rooms for ...       »","Arya,Rana Jung Bahadur,Aparna Bera,Kishore Bhanushali",K. Shivram
5855,Kamaal Ki Chhokri,Thriller,,,
5856,Madam No 1,Action,,"Pooja Dadwal,Razak Khan,Mac Mohan,Raza Murad",Hashmat Siddiqu
5857,Bistar,Thriller,,"Birbal,Hemant Birje,Poonam Dasgupta,Ramesh Goyal",Kishan Shah
5858,Chandni Bani Chudail,"Drama, Horror",,"Vijay Solanki,Reena Kapoor,Nisha,Rohit Raj",R. Mittal
5859,Galat Sambandh,Thriller,,"Bhavana,Mahesh,Usha",P.R.S. Babu
5860,Shola Aur Barood,Action,,"Shakti Kapoor,Satnam Kaur,Kiran Kumar,Anil Nagrath",Teerat Singh
5861,Aadmi Aur Aurat,Thriller,,"Alka Kubal,Raza Murad,Ramanna",
5862,Qurbani: The Sacrifice,Action,,"Manya,Shivaji",
5863,Phir Aayegi Woh Raat,Horror,,"Ali Khan,Mac Mohan,Raza Murad,Anil Nagrath",Tej Saran
5864,Lalkaar,Action,,,Kanti Shah
5865,Main Hoon Kunwari Dulhan,"Drama, Thriller","Watch the full movie, Main Hoon Kunwari Dulhan, only on Eros Now. Main Hoon Kunwari is a 2012 Indian Hindi film, directed by J. Neelam and produced by J. Neelam. The film stars Satnam Kaur,...       »","Satnam Kaur,Arvinda Jaiswal,Durgesh Nandini,Amit Pachori",Jaspal Neelam
5866,Jungle Ki Sherni,"Action, Adventure, Drama","A mighty, blade-wielding woman protects the jungle from unscrupulous adventurers.","Sapna Sappu,Amit Pachori,Vinod Tripathi,Dimple",Kanti Shah
5867,Raat Ki Kaliyan,Thriller,,,N. Shankaran Nair
5868,Ladka Solva Saal Ka,Thriller,,,
5869,Maut Ka Pinjra,Horror,,"Brij Gopal,Anil Nagrath,Rakesh Pandey,Aman Sagar",
5870,SIXER,Drama,,"Punya Darshan Gupta,Manjushree",Gul Bahar Singh
5871,Taandav: Tune of Taandav,Musical,,,Atul Harishanker
5872,Kahani Kamini Ki,Thriller,,"Shakeela,Sudhakar,Vahini",
5873,Yeh Shabnam Bani Shola,Romance,,"Mohan Joshi,Satnam Kaur,Shehzad Khan,Kiran Kumar",
5874,Tujhko Pukare Mera Pyaar,Romance,,"Pinky Chinoy,Kiran Jain,Jay Kalgutkar,Mushtaq Khan",Shams Durrani
5875,Premras,Romance,,"Anjalini,Mahesh Raaj,Rajeev Raj",
5876,Kama Sastra,Thriller,,,
5877,5 Rifles,Action,,"Ranjeet Bedi,Hemant Birje,Anu Kashyap,Raza Murad",
5878,Nasheela Jaam,Thriller,,,
5879,Pratighaath,Action,,"Hemant Birje,Rajni Chandra,Abhay Dutt,Shakti Kapoor",
5880,Kaamukta,Thriller,,"Jai,Malvindra Jit,Ali Khan,Raza Murad",V.K. Singh
5881,Biwi aur Padosan,Thriller,,"Laxmikant Berde,Bindu Kamat,Razak Khan,Dharmendra Rana",
5882,Kanoon Ka Sikandar,Action,,"Dharmendra,Girish Dubey,Girish Dubey,Mohan Joshi",Girish Dubey
5883,Ek Pal Masti Ka,Thriller,,,
5884,College Story,Horror,,"Madusree,Shobha Raj",
5885,Bombay Crime,Action,,"Tinnu Anand,Sulabha Deshpande,Anant Jog,Bharat Kapoor",Umesh Sharma
5886,Devi Durga Shakti,Fantasy,"Young and beautiful Rajeshwari is the priestess of Devi Maa Durga's temple in a small village in Southern India. She is well-known and respected by everyone in the region, including Mohan ...       »","Devayani,Meena,Varalakshmi P.R.,Ramki",Pughalmani
5887,Hello Hyderabad,Drama,Hello Hyderabad 2001 is Bollywood Movie. 1.Dheere Dheere Sanam Kumar Sanu and Kavita Krishnamurty 2.Udke Pagal Hawa Se Kumar Sanu I Have These Two songs Of Kumar Sanu from this movie but looking for complete songs of these movie.,"Rahul Gandhi,Ahmed Mirza,Rucheeta Sahai",Basit Khan
5888,Bub (Father),Drama,"The film is based on the real life incident of the Vandahama tragedy, where a Kashmiri Pundit family was massacred before the Republic day on 26th January.","K.K. Raina,Kuber Sarup,Virendra Razdan,Raju Kher",Jyoti Sarup
5889,Prashna Chinnha,Drama,,,
5890,Naag Laxmi: The Protector,Fantasy,,"Shiv Krishna,Prema",
5891,Daku Hindustani,Action,,,
5892,Dil Aa Gaya,Romance,,"Ayub Khan,Reema Lagoo,Alok Nath,Raageshwari",T.L.V. Prasad
5893,The Telephone,Comedy,,"Amisha Desai,Dinesh Hingoo,Sucheta Khanna,Kunal Singh",Naresh Ambasta
5894,Khooni Bistar,Horror,,"Kishore Bhanushali,Birbal,Jay Kalgutkar,Raza Murad",Tilak Raj
5895,Shikar,Action,,,
5896,Kaam Krodh,Thriller,,,
5897,Meri Ishq Ki Kahani,Romance,,"Mohan Agashe,Ramesh Bhatkar,Ashwini Bhave,Mahesh Manjrekar",Kumar Sohoni
5898,Chaahat Ki Lahariyon,Romance,,,
5899,Aseem Aasha,Drama,,,
5900,Meri Chunouti,Action,,"Richa Pallod,Soundarya,Srikanth",
5901,Samna,Action,,,
5902,Rashtra Geet,Action,,"Bhavana,Ilavarasi,Sai Kumar",K.V. Raju
5903,Jawaani Ki Khushbu,Thriller,,"Prathapachandran,Yogapriya",
5904,Prem Jaal,Thriller,,"Boopathi,Anil Soni",
5905,Range Haath,Thriller,,,
5906,Chhoti Si Bhool,Thriller,,,
5907,Mang Le Tu Mang Le,Thriller,,,Kanti Shah
5908,Sindoor Mange Khoon,Action,,"Hemant Birje,Adi Irani,Mohan Joshi,Ravi Kishan",
5909,Laal Joda,Thriller,,"Chandni Gupta,Vijay Gupta,Junior Jagdeep,Lalitesh",Sunny Kapoor
5910,Andheri Raatin Mein,Drama,,"Rajni Chandra,Mohan Joshi,Zunaid Memon,Anil Nagrath",Anil Dhanda
5911,Meri Izzat Bachaao,Thriller,,"Anandraj,Jack Gaud,Vicky Kaushik,Mushtaq Khan",Anil Dhanda
5912,Pyar Ki Bhool,Thriller,,,
5913,Raakchhas,Thriller,,,
5914,Dark Night,Thriller,,"Biswajeet Chatterjee,Ramesh Goyal,Jay Kalgutkar,Dev Malhotra",Mahmood Khan
5915,Meri Jaan Ki Baazi,Action,"Sweety is an ardent fan of superstar Suryakant. Circumstances force Suryakant to seek shelter in Sweety's house, during which the duo unearth a criminal gang that is out to steal diamonds.",,
5916,Suhaag Ki Keemat,Drama,,,
5917,Kahani Saali Jeeja Ki,Thriller,,"Chandni Gupta,Anil Nagrath,Amita Nangia,Babbanlal Yadav",Tilak
5918,Main Hoon Beauty Queen,Thriller,An I.S.I. agent Sonia (Sapna) forces her rich industrialist lover Rohit (Amit Pachori) to organise a beauty pageant. Her ulterior motive is to send secret documents outside the country ...       »,"Mehmood Jr.,Anil Nagrath,Amit Pachori,Mahesh Raaj",Rashmi Ranjan
5919,Prem Hatya,Thriller,,,
5920,Gunahon Ki Devi,Action,,"Ishrat Ali,Shehzad Khan,Mac Mohan,Raza Murad",
5921,Aakrandan,Drama,,,
5922,Ek Aur Maut,Mystery,,"Jugraj,Goga Kapoor,Madhumani,Raza Murad",
5923,Sochna,Drama,,,
5924,Shabnam Bani Shola,Action,"Thakur Singh discovers that his four sons, Shamsher, Ajay, Vikram and Vijay, are vile womanizers and drunkards. He changes his will to include his devoted servant Karan Singh. When his sons...       »","Shyam Chadda,Mohan Joshi,Satnam Kaur,Ali Khan",Sunny Kapoor
5925,Baaghi,Action,,,
5926,Vahshi Aatma,Horror,,"Kiran Jain,Jay Kalgutkar,Rubina Khan,Anil Nagrath",Tilak
5927,Jai Ganesh Deva,Fantasy,"Sage Kondilivar narrates the story of Bhagwan Shri Ganesh to his devotees as well as demonstrates the powers of Ganeshji when he sends his wife, Aasri, to Devlok to seek wealth equivalent ...       »","Delhi Ganesh,Jai Ganesh,Akshay Milind,Nizhalgal Ravi",K. Shankar
5928,Sampoorna Shiv Leela,Drama,,,V. Swaminathan
5929,Jaan Likhu Janam Likhu,"Music, Romance",,"Shahid Kapoor,Ayesha Takia",
5930,Kaam,Thriller,,,
5931,Chehra Maut Ka,Horror,,"Birbal,Kiran Kumar,Mac Mohan,Mahesh Raaj",Inder Kumar Gupta
5932,Biwi Ka Pyar,Thriller,,,
5933,Ramgadh Ki Ramkali,Action,,"Durgesh Nandini,Amit Pachori,Shah Gayaz Khan,Mohan Joshi",K.I. Sheikh
